FSAFIL1,FSAFIL2,REL1,REL2,AGE1,AGE2,SEX1,SEX2,RACETH1,RACETH2,CTZN1,CTZN2,YRSED1,EMPRG1,EMPRG2,EMPSTA1,EMPSTA2,EMPSTB1,EMPSTB2,WAGES1,WAGES2,WAGES3,WAGES4,WAGES5,SLFEMP1,SLFEMP2,OTHERN1,OTHERN2,SOCSEC1,SOCSEC2,SOCSEC3,SOCSEC4,SOCSEC5,SOCSEC6,SOCSEC7,VET1,VET2,SSI1,SSI2,SSI3,SSI4,UNEMP1,WCOMP1,OTHGOV1,CONT1,GA1,OTHUN1,OTHUN2,TANF1,TANF2,TANF3,CSUPRT1,CSUPRT2,CSUPRT3,CSUPRT4,CSUPRT5,CSUPRT6,AMOUNT1,WRKREG1,WRKREG2,ABWDST1,ABWDST2,DPCOST1,REGIONCD,STATE,YRMONTH,STATUS,AMTERR,RAWHSIZE,RCNTACTN,ACTNTYPE,CERTHHSZ,CASE,CERTMTH,RAWBEN,EXPEDSER,AUTHREP,FSMEDEXP,FSDEPDED,RAWNET,HOMEDED,SUA1,SUA2,FSCSEXP,RENT,SHELDED,ALLADJ,AMTADJ,REP_SYS,CAT_ELIG,HHLDNO,FSUN1,FSUN2,DIS1,DIS2,CTPRHH,FSCSDED,RAWGROSS,RAWERND,FSMEDDED,UTIL,FSNDISCA,FSNDIS,LASTCERT,BENFIX,FSUSIZE,BENMAX,MINIMUM_BEN,RAWLQRES,FSNKID,FSERNDED,FSSLTDED,FSSTDDED,FSTOTDED,HOMELESS_DED,FSNELDER,FSNK5T17,FSNK0T4,FSNGMOM,NONCIT_HEAD,COMPOSITION,ERN_INC_DED_PCT,FSSLTEXP,SHELCAP,REGION,NETSCRN,GROSSCRN,FSOTHERN,FSSLFEMP,FSWAGES,FSCSUPRT,FSTANF,FSCONT,FSOTHGOV,FSOTHUN,FSSOCSEC,FSGA,FSUNEMP,FSVET,FSWCOMP,FSSSI,TANF_IND,FSEARN,FSUNEARN,FSGRINC,TPOV,WRK_POOR,FSNETINC,FSBEN,FSMINBEN,SSI_CAP,FSSTDDE2,FSERNDE2,FSDEPDE2,FSMEDDE2,FSSLTDE2,FSTOTDE2,PURE_PA,NDISCA1,ASSLIM,FSASTEST,FSGRTEST,FSNETEST,HWGT,FYWGT,WORK1,FSNONCIT,FSDIS,FSELDER,FSKID
1.0,1.5233265720081135,1.0,3.4523326572008113,20.0,22.614604462474645,1.0,1.3793103448275863,7.0,8.486815415821502,1.0,1.5101626016260163,12.0,0.0,0.11498973305954825,2.0,2.1724845995893225,1.0,1.4558521560574949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.997946611909651,1.0,1.051334702258727,0.0,5.0,35.0,201610.0,1.0,0.0,1.0,20160115.0,1.0,1.0,1.0,12.0,194.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,33058.0,1.0,0.9614604462474645,0.0,0.02636916835699797,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,194.0,1.0,194.0,16.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999284744262,0.0,517.0,4.0,990.0,1287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2250.0,1.0,1.0,1.0,2769.2175738626424,230.7681311552202,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,5.0,60.0,8.0,2.0,2.0,3.0,3.0,1.0,1.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,2.0,2.0,1.0,1.0,0.0,5.0,35.0,201610.0,2.0,97.0,2.0,20160107.0,1.0,2.0,1.0,12.0,243.0,1.0,2.0,0.0,0.0,702.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,33059.0,1.0,1.0,0.0,0.0,2.0,0.0,859.0,0.0,0.0,0.0,0.0,0.0,9.0,146.0,2.0,357.0,16.0,0.0,1.0,0.0,0.0,157.0,157.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.1999999284744262,0.0,517.0,4.0,1335.0,1736.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,859.0,859.0,64.0,0.0,702.0,146.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,3250.0,1.0,1.0,1.0,2844.246945353979,237.02057877949824,0.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,4.0,44.0,6.0,1.0,1.0,17.0,17.0,1.0,1.0,12.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,35.0,201610.0,1.0,0.0,2.0,20160826.0,1.0,2.0,1.0,12.0,357.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,475.0,517.0,1.0,0.0,6.0,1.0,33060.0,1.0,1.0,0.0,0.0,2.0,0.0,327.0,0.0,0.0,325.0,0.0,0.0,1.0,357.0,2.0,357.0,16.0,0.0,1.0,0.0,517.0,157.0,674.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.1999999284744262,800.0,517.0,4.0,1335.0,1736.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,327.0,327.0,24.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,327.0,1.0,2.0,2250.0,1.0,1.0,1.0,2743.095088028407,228.5912573357006,0.0,0.0,0.0,0.0,1.0
1.0,1.5233265720081135,1.0,3.4523326572008113,48.0,22.614604462474645,1.0,1.3793103448275863,17.0,8.486815415821502,1.0,1.5101626016260163,12.0,9.0,0.11498973305954825,7.0,2.1724845995893225,2.0,1.4558521560574949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.997946611909651,1.0,1.051334702258727,0.0,5.0,35.0,201610.0,1.0,0.0,1.0,20151104.0,1.0,1.0,1.0,12.0,194.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,33061.0,1.0,0.9614604462474645,0.0,0.02636916835699797,1.0,0.0,30.0,6.0,0.0,0.0,1.0,0.0,11.0,194.0,1.0,194.0,16.0,0.0,0.0,6.0,0.0,157.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999284744262,0.0,517.0,4.0,990.0,1287.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,3.0,1.0,0.0,194.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,2250.0,1.0,1.0,1.0,2769.2175738626424,230.7681311552202,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,4.0,48.0,11.0,2.0,1.0,7.0,7.0,1.0,1.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,5.0,35.0,201610.0,1.0,0.0,2.0,20160222.0,1.0,2.0,1.0,12.0,181.0,3.0,2.0,0.0,0.0,586.0,1.0,4.0,1.0,0.0,319.0,234.0,1.0,0.0,6.0,1.0,33062.0,1.0,1.0,1.0,0.0,2.0,0.0,977.0,0.0,0.0,325.0,0.0,1.0,7.0,181.0,2.0,357.0,16.0,0.0,1.0,0.0,234.0,157.0,391.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.1999999284744262,644.0,517.0,4.0,1335.0,1736.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,1.0,0.0,977.0,977.0,73.0,0.0,586.0,181.0,0.0,0.0,235.0,0.0,0.0,0.0,234.0,391.0,1.0,2.0,3250.0,1.0,1.0,1.0,2827.468201243093,235.6223501035911,0.0,0.0,1.0,0.0,1.0
1.0,1.5233265720081135,1.0,3.4523326572008113,65.0,22.614604462474645,2.0,1.3793103448275863,17.0,8.486815415821502,1.0,1.5101626016260163,12.0,0.0,0.11498973305954825,1.0,2.1724845995893225,1.0,1.4558521560574949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.997946611909651,1.0,1.051334702258727,0.0,5.0,35.0,201610.0,1.0,0.0,1.0,20160824.0,1.0,1.0,1.0,24.0,53.0,3.0,1.0,0.0,0.0,470.0,1.0,4.0,1.0,0.0,635.0,483.0,1.0,0.0,3.0,1.0,33064.0,1.0,0.9614604462474645,0.0,0.02636916835699797,1.0,0.0,1110.0,0.0,0.0,325.0,0.0,0.0,1.0,53.0,1.0,194.0,16.0,0.0,0.0,0.0,484.0,157.0,641.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1999999284744262,960.0,517.0,4.0,990.0,1287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.0,1110.0,112.0,0.0,469.0,53.0,0.0,0.0,236.0,0.0,0.0,0.0,484.0,641.0,0.0,0.0,3250.0,1.0,1.0,1.0,2836.811942960549,236.40099524671243,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,4.0,57.0,29.0,2.0,1.0,3.0,3.0,1.0,1.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,35.0,201610.0,3.0,28.0,3.0,20160714.0,2.0,3.0,1.0,3.0,483.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,33066.0,1.0,1.0,0.0,0.0,3.0,0.0,50.0,0.0,0.0,0.0,2.0,0.0,3.0,511.0,3.0,511.0,16.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999284744262,0.0,517.0,4.0,1680.0,2184.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,3.0,0.0,0.0,511.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2250.0,1.0,1.0,1.0,2721.2871364128864,226.7739280344072,0.0,0.0,0.0,0.0,0.0
1.0,1.5233265720081135,1.0,3.4523326572008113,64.0,22.614604462474645,1.0,1.3793103448275863,7.0,8.486815415821502,1.0,1.5101626016260163,12.0,0.0,0.11498973305954825,1.0,2.1724845995893225,1.0,1.4558521560574949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.997946611909651,1.0,1.051334702258727,0.0,5.0,35.0,201610.0,1.0,0.0,1.0,20160112.0,1.0,1.0,1.0,24.0,16.0,3.0,2.0,86.0,0.0,947.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,33068.0,1.0,0.9614604462474645,0.0,0.02636916835699797,1.0,0.0,1189.0,0.0,86.0,318.0,0.0,0.0,9.0,16.0,1.0,194.0,16.0,0.0,0.0,0.0,0.0,157.0,243.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1999999284744262,318.0,517.0,4.0,990.0,1287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.0,1189.0,120.0,0.0,946.0,16.0,1.0,0.0,157.0,0.0,0.0,86.0,0.0,243.0,0.0,0.0,3250.0,1.0,1.0,1.0,2854.549472452682,237.87912270439017,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,2.0,23.0,33.0,2.0,1.0,7.0,7.0,1.0,1.0,12.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,5.0,35.0,201610.0,2.0,17.0,4.0,20160302.0,1.0,4.0,1.0,12.0,649.0,3.0,2.0,0.0,0.0,56.0,1.0,4.0,1.0,0.0,560.0,572.0,1.0,0.0,6.0,1.0,33069.0,1.0,1.0,1.0,0.0,4.0,0.0,795.0,0.0,0.0,325.0,0.0,1.0,7.0,632.0,4.0,649.0,16.0,0.0,2.0,0.0,572.0,168.0,740.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.1999999284744262,885.0,517.0,4.0,2025.0,2633.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,1.0,0.0,795.0,795.0,39.0,0.0,55.0,632.0,0.0,0.0,252.0,0.0,0.0,0.0,572.0,740.0,1.0,2.0,3250.0,1.0,1.0,1.0,2715.2991435324334,226.2749286277028,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,7.0,26.0,27.0,2.0,1.0,2.0,2.0,1.0,1.0,13.0,0.0,0.0,1.0,8.0,1.0,3.0,0.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,35.0,201610.0,1.0,0.0,4.0,20151029.0,2.0,4.0,1.0,12.0,625.0,3.0,2.0,0.0,0.0,79.0,1.0,4.0,1.0,0.0,200.0,324.0,1.0,0.0,6.0,1.0,33070.0,1.0,1.0,0.0,0.0,4.0,0.0,714.0,143.0,0.0,325.0,0.0,0.0,11.0,625.0,4.0,649.0,16.0,0.0,2.0,142.0,323.0,168.0,633.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.1999999284744262,525.0,517.0,4.0,2025.0,2633.0,0.0,0.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0,714.0,35.0,1.0,81.0,624.0,0.0,0.0,252.0,213.0,0.0,0.0,323.0,633.0,0.0,2.0,2250.0,1.0,1.0,1.0,2719.134285028544,226.59452375237868,0.0,0.0,0.0,0.0,1.0
