FSUNEMP,FSNK5T17,LIQRESOR,FSSLTDE2,FSSLTDED,FSOTHUN,FSGRINC,FSUSIZE,FSTOTDE2,FSSTDDE2,FSNONCIT,RAWERND,FSTOTDED,REALPROP,FSERNDED,FSERNDE2,FSNELDER,FSNDISCA,FSWAGES,FSWCOMP,FSSLTEXP,CERTHHSZ,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,1.0,0.0,171.0,171.0,0.0,913.0,3.0,305.0,201.0,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,3.0,1.0,0.0,1.0
0.0,3.0,0.0,76.0,76.0,0.0,1477.0,6.0,740.0,262.0,0.0,295.0,740.0,0.0,295.0,371.0,0.0,0.0,1477.0,0.0,483.0,6.0,0.0,0.0,1.0
0.0,1.0,0.0,417.0,417.0,0.0,569.0,3.0,551.0,134.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,3.0,1.0,0.0,1.0
0.0,0.0,14.0,40.0,40.0,0.0,1866.0,4.0,552.0,179.0,0.0,373.0,552.0,0.0,373.0,413.0,0.0,0.0,1866.0,0.0,717.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,322.0,322.0,0.0,603.0,1.0,456.0,201.0,0.0,0.0,456.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,557.0,1.0,1.0,0.0,1.0
0.0,1.0,0.0,213.0,409.0,0.0,372.0,2.0,372.0,5.0,0.0,26.0,568.0,0.0,25.0,0.0,0.0,0.0,129.0,0.0,516.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,78.0,78.0,0.0,623.0,1.0,212.0,201.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,1.0,1.0,0.0,1.0
0.0,1.0,0.0,169.0,169.0,0.0,1234.0,5.0,577.0,243.0,0.0,247.0,577.0,0.0,246.0,369.0,0.0,0.0,1234.0,0.0,582.0,5.0,0.0,0.0,1.0
0.0,0.0,0.0,265.0,265.0,0.0,603.0,1.0,399.0,201.0,0.0,0.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1.0,1.0,0.0,1.0
0.0,3.0,0.0,161.0,417.0,0.0,368.0,3.0,368.0,0.0,0.0,74.0,624.0,0.0,73.0,0.0,0.0,0.0,368.0,0.0,771.0,3.0,0.0,0.0,1.0
